State,Population,Population Density,Average Age
Baden-Wurttemberg,11280257,316,43.9
Bayern,13369393,190,44.0
Berlin,3755251,4214,42.8
Brandenburg,2573135,87,47.5
Bremen,684864,1632,43.1
Hamburg,1892122,2506,42.2
Hessen,6391360,303,44.0
Mecklenburg-Vorpommern,1628378,70,48.1
Niedersachsen,8140242,171,45.0
Nordrhein-Westfalen,18139116,532,44.4
Rheinland-Pfalz,4159150,209,45.1
Saarland,992666,386,46.3
Sachsen,4086152,221,46.8
Sachsen-Anhalt,2186643,107,48.3
Schleswig-Holstein,2953270,187,45.7
Thuringen,2126846,131,47.9

